ENERGY;Dx;Dy;Dz;Pcis
 -205.294031907  ;  0.1719  ; -1.1371   ; -0.5081  ;1
 -205.579481073  ;  0.1507  ; -1.2220   ; -0.3850  ;1
 -205.708628293  ;  0.1323  ; -1.3138   ; -0.2723  ;1
 -205.759999996  ;  0.1167  ; -1.4095   ; -0.1695  ;1
 -205.772088013  ;  0.1038  ; -1.5048   ; -0.0779  ;1
 -205.764582607  ;  0.0937  ; -1.5957   ;  0.0008  ;1
 -205.747756441  ;  0.0863  ; -1.6800   ;  0.0656  ;1
 -205.727045956  ;  0.0815  ; -1.7568   ;  0.1163  ;1
 -205.705349373  ;  0.0791  ; -1.8261   ;  0.1531  ;1
 -205.684179483  ;  0.0788  ; -1.8883   ;  0.1762  ;1
 -205.664284150  ;  0.0803  ; -1.9438   ;  0.1857  ;1
 -205.646000885  ;  0.0834  ; -1.9923   ;  0.1810  ;1
 -205.629453881  ;  0.0877  ; -2.0331   ;  0.1611  ;1
 -205.614656034  ;  0.0932  ; -2.0647   ;  0.1246  ;1
 -205.601559970  ;  0.0995  ; -2.0856   ;  0.0706  ;1
 -205.590084092  ;  0.1062  ; -2.0943   ;  0.0002  ;1
 -205.580126235  ;  0.1128  ; -2.0905   ; -0.0824  ;1
 -205.571571544  ;  0.1187  ; -2.0754   ; -0.1706  ;1
 -205.564297337  ;  0.1231  ; -2.0509   ; -0.2570  ;1
 -205.558175933  ;  0.1262  ; -2.0198   ; -0.3350  ;1
 -205.294143032  ;  0.2079  ; -1.1347   ; -0.4975  ;1
 -205.579539286  ;  0.1891  ; -1.2196   ; -0.3756  ;1
 -205.708661219  ;  0.1734  ; -1.3112   ; -0.2641  ;1
 -205.760021627  ;  0.1604  ; -1.4066   ; -0.1626  ;1
 -205.772106654  ;  0.1502  ; -1.5015   ; -0.0725  ;1
 -205.764603654  ;  0.1425  ; -1.5919   ;  0.0047  ;1
 -205.747783977  ;  0.1374  ; -1.6754   ;  0.0679  ;1
 -205.727083400  ;  0.1346  ; -1.7512   ;  0.1168  ;1
 -205.705399716  ;  0.1338  ; -1.8193   ;  0.1515  ;1
 -205.684245350  ;  0.1350  ; -1.8801   ;  0.1725  ;1
 -205.664367841  ;  0.1376  ; -1.9340   ;  0.1797  ;1
 -205.646104371  ;  0.1416  ; -1.9807   ;  0.1728  ;1
 -205.629578613  ;  0.1464  ; -2.0195   ;  0.1509  ;1
 -205.614802574  ;  0.1521  ; -2.0492   ;  0.1129  ;1
 -205.601727260  ;  0.1581  ; -2.0682   ;  0.0582  ;1
 -205.590268568  ;  0.1642  ; -2.0754   ; -0.0116  ;1
 -205.580321244  ;  0.1699  ; -2.0707   ; -0.0923  ;1
 -205.571767213  ;  0.1748  ; -2.0555   ; -0.1777  ;1
 -205.564480765  ;  0.1784  ; -2.0319   ; -0.2607  ;1
 -205.558331763  ;  0.1810  ; -2.0027   ; -0.3357  ;1
 -205.294294158  ;  0.2433  ; -1.1316   ; -0.4906  ;1
 -205.579639596  ;  0.2271  ; -1.2161   ; -0.3686  ;1
 -205.708734181  ;  0.2140  ; -1.3073   ; -0.2571  ;1
 -205.760081467  ;  0.2037  ; -1.4023   ; -0.1556  ;1
 -205.772162773  ;  0.1959  ; -1.4967   ; -0.0655  ;1
 -205.764662727  ;  0.1905  ; -1.5866   ;  0.0114  ;1
 -205.747851265  ;  0.1874  ; -1.6695   ;  0.0741  ;1
 -205.727163628  ;  0.1864  ; -1.7446   ;  0.1223  ;1
