ENERGY;Dx;Dy;Dz;Pcis
 -205.721690295  ;  0.7115  ; -1.4313   ; -1.1749  ;1
 -205.746496206  ;  0.5474  ; -1.4518   ; -0.8652  ;1
 -205.761795398  ;  0.3911  ; -1.4709   ; -0.5795  ;1
 -205.769754000  ;  0.2432  ; -1.4886   ; -0.3174  ;1
 -205.772088013  ;  0.1038  ; -1.5048   ; -0.0779  ;1
 -205.770154417  ; -0.0271  ; -1.5195   ;  0.1399  ;1
 -205.765023596  ; -0.1496  ; -1.5330   ;  0.3375  ;1
 -205.757535227  ; -0.2643  ; -1.5452   ;  0.5164  ;1
 -205.748344507  ; -0.3717  ; -1.5563   ;  0.6785  ;1
 -205.737958609  ; -0.4725  ; -1.5663   ;  0.8255  ;1
 -205.726766689  ; -0.5673  ; -1.5755   ;  0.9592  ;1
 -205.715065057  ; -0.6568  ; -1.5840   ;  1.0814  ;1
 -205.703077278  ; -0.7416  ; -1.5917   ;  1.1937  ;1
 -205.690970864  ; -0.8222  ; -1.5989   ;  1.2976  ;1
 -205.678870776  ; -0.8991  ; -1.6057   ;  1.3945  ;1
 -205.666869835  ; -0.9725  ; -1.6120   ;  1.4853  ;1
 -205.655036974  ; -1.0428  ; -1.6180   ;  1.5711  ;1
 -205.643423529  ; -1.1101  ; -1.6237   ;  1.6526  ;1
 -205.632067780  ; -1.1745  ; -1.6291   ;  1.7303  ;1
 -205.620998337  ; -1.2360  ; -1.6343   ;  1.8047  ;1
 -205.720876159  ;  0.7195  ; -1.4338   ; -1.0278  ;1
 -205.746012460  ;  0.5660  ; -1.4530   ; -0.7587  ;1
 -205.761581261  ;  0.4198  ; -1.4706   ; -0.5102  ;1
 -205.769713164  ;  0.2812  ; -1.4868   ; -0.2817  ;1
 -205.772106654  ;  0.1502  ; -1.5015   ; -0.0725  ;1
 -205.770113373  ;  0.0267  ; -1.5148   ;  0.1184  ;1
 -205.764806425  ; -0.0893  ; -1.5268   ;  0.2921  ;1
 -205.757033241  ; -0.1984  ; -1.5377   ;  0.4498  ;1
 -205.747459672  ; -0.3007  ; -1.5474   ;  0.5926  ;1
 -205.736604804  ; -0.3969  ; -1.5561   ;  0.7220  ;1
 -205.724869887  ; -0.4872  ; -1.5640   ;  0.8392  ;1
 -205.712562674  ; -0.5722  ; -1.5710   ;  0.9455  ;1
 -205.699917095  ; -0.6521  ; -1.5773   ;  1.0420  ;1
 -205.687109771  ; -0.7275  ; -1.5829   ;  1.1299  ;1
 -205.674273389  ; -0.7986  ; -1.5881   ;  1.2103  ;1
 -205.661507270  ; -0.8657  ; -1.5927   ;  1.2840  ;1
 -205.648885730  ; -0.9291  ; -1.5970   ;  1.3518  ;1
 -205.636464354  ; -0.9889  ; -1.6009   ;  1.4146  ;1
 -205.624284708  ; -1.0454  ; -1.6045   ;  1.4728  ;1
 -205.612377801  ; -1.0987  ; -1.6078   ;  1.5270  ;1
 -205.720976660  ;  0.7634  ; -1.4283   ; -1.0233  ;1
 -205.746090384  ;  0.6104  ; -1.4476   ; -0.7536  ;1
 -205.761645865  ;  0.4648  ; -1.4655   ; -0.5045  ;1
 -205.769771144  ;  0.3266  ; -1.4818   ; -0.2754  ;1
 -205.772162773  ;  0.1959  ; -1.4967   ; -0.0655  ;1
 -205.770170923  ;  0.0728  ; -1.5102   ;  0.1260  ;1
 -205.764867568  ; -0.0431  ; -1.5224   ;  0.3003  ;1
 -205.757099283  ; -0.1520  ; -1.5334   ;  0.4585  ;1
 -205.747531264  ; -0.2542  ; -1.5432   ;  0.6020  ;1
 -205.736682088  ; -0.3503  ; -1.5521   ;  0.7320  ;1
 -205.724952628  ; -0.4406  ; -1.5600   ;  0.8498  ;1
 -205.712650352  ; -0.5256  ; -1.5671   ;  0.9567  ;1
 -205.700008986  ; -0.6056  ; -1.5735   ;  1.0538  ;1
 -205.687204995  ; -0.6811  ; -1.5793   ;  1.1422  ;1
 -205.674370954  ; -0.7523  ; -1.5845   ;  1.2231  ;1
 -205.661606121  ; -0.8195  ; -1.5892   ;  1.2973  ;1
 -205.648984753  ; -0.8830  ; -1.5935   ;  1.3656  ;1
 -205.636562413  ; -0.9430  ; -1.5974   ;  1.4288  ;1
 -205.624380651  ; -0.9996  ; -1.6010   ;  1.4874  ;1
 -205.612470482  ; -1.0530  ; -1.6043   ;  1.5419  ;1
 -205.721127220  ;  0.8066  ; -1.4214   ; -1.0161  ;1
 -205.746211766  ;  0.6542  ; -1.4409   ; -0.7459  ;1
 -205.761750086  ;  0.5089  ; -1.4590   ; -0.4962  ;1
 -205.769866888  ;  0.3710  ; -1.4755   ; -0.2666  ;1
 -205.772256158  ;  0.2406  ; -1.4905   ; -0.0562  ;1
 -205.770266123  ;  0.1177  ; -1.5042   ;  0.1359  ;1
 -205.764967268  ;  0.0019  ; -1.5165   ;  0.3108  ;1
 -205.757205042  ; -0.1069  ; -1.5276   ;  0.4697  ;1
 -205.747643764  ; -0.2092  ; -1.5376   ;  0.6138  ;1
 -205.736801383  ; -0.3053  ; -1.5466   ;  0.7444  ;1
 -205.725078273  ; -0.3957  ; -1.5547   ;  0.8628  ;1
 -205.712781554  ; -0.4808  ; -1.5619   ;  0.9702  ;1
 -205.700144688  ; -0.5610  ; -1.5684   ;  1.0679  ;1
 -205.687343966  ; -0.6367  ; -1.5743   ;  1.1569  ;1
 -205.674511849  ; -0.7081  ; -1.5795   ;  1.2383  ;1
 -205.661747518  ; -0.7755  ; -1.5843   ;  1.3130  ;1
 -205.649125193  ; -0.8392  ; -1.5887   ;  1.3818  ;1
 -205.636700431  ; -0.8994  ; -1.5927   ;  1.4454  ;1
